,jobDist,n,m,lowerBound,liftedLowerBound
0,discreteUniform,10,2,83678.0,83678.0
1,discreteUniform,10,2,76275.5,76275.5
2,discreteUniform,10,2,99790.0,99790.0
3,discreteUniform,10,2,101747.0,101747.0
4,discreteUniform,10,2,127758.5,127758.5
5,discreteUniform,10,2,110093.0,110093.0
6,discreteUniform,10,2,68419.0,68419.0
7,discreteUniform,10,2,83421.5,83421.5
8,discreteUniform,10,2,90017.5,90017.5
9,discreteUniform,10,2,111186.0,111186.0
10,largeJobs,10,2,165135.5,165135.5
11,largeJobs,10,2,173677.0,173677.0
12,largeJobs,10,2,162669.5,162669.5
13,largeJobs,10,2,176380.0,176380.0
14,largeJobs,10,2,160723.0,160723.0
15,largeJobs,10,2,174409.5,174409.5
16,largeJobs,10,2,172445.5,172445.5
17,largeJobs,10,2,167904.0,167904.0
18,largeJobs,10,2,177613.5,177613.5
19,largeJobs,10,2,163360.0,163360.0
20,extremes,10,2,160520.5,160520.5
21,extremes,10,2,87907.5,87907.5
22,extremes,10,2,131501.0,135805.0
23,extremes,10,2,141933.5,141933.5
24,extremes,10,2,95345.0,95345.0
25,extremes,10,2,61789.5,61789.5
26,extremes,10,2,122338.5,122338.5
27,extremes,10,2,107216.5,107216.5
28,extremes,10,2,104485.0,104485.0
29,extremes,10,2,122053.5,122053.5
30,centred,10,2,102981.0,102981.0
31,centred,10,2,97518.5,97518.5
32,centred,10,2,96525.5,96525.5
33,centred,10,2,83944.5,83944.5
34,centred,10,2,95345.5,95345.5
35,centred,10,2,95529.0,95529.0
36,centred,10,2,112678.0,112678.0
37,centred,10,2,94199.0,94199.0
38,centred,10,2,104755.0,104755.0
39,centred,10,2,87241.5,87241.5
40,discreteUniform,10,4,57331.25,57331.25
41,discreteUniform,10,4,49435.5,55884.0
42,discreteUniform,10,4,63148.0,63148.0
43,discreteUniform,10,4,40969.5,45654.0
44,discreteUniform,10,4,45419.5,45528.333333333336
45,discreteUniform,10,4,48676.5,48676.5
46,discreteUniform,10,4,54598.25,58554.0
47,discreteUniform,10,4,39623.75,39623.75
48,discreteUniform,10,4,40572.5,41549.0
49,discreteUniform,10,4,54978.5,54978.5
50,largeJobs,10,4,84329.0,94405.0
51,largeJobs,10,4,84176.0,92480.0
52,largeJobs,10,4,82592.25,93322.0
53,largeJobs,10,4,88422.0,100793.5
54,largeJobs,10,4,83034.75,95626.0
55,largeJobs,10,4,86744.5,98592.5
56,largeJobs,10,4,83473.0,92539.0
57,largeJobs,10,4,83997.75,94734.0
58,largeJobs,10,4,76161.0,83221.0
59,largeJobs,10,4,81116.5,87590.5
60,extremes,10,4,36704.0,36704.0
61,extremes,10,4,63165.25,73767.0
62,extremes,10,4,52326.25,52326.25
63,extremes,10,4,58669.75,58669.75
64,extremes,10,4,44424.5,56306.0
65,extremes,10,4,58493.75,58493.75
66,extremes,10,4,54348.25,55055.333333333336
67,extremes,10,4,47935.5,60295.0
68,extremes,10,4,35078.0,35078.0
69,extremes,10,4,51971.25,56304.0
70,centred,10,4,47260.75,49527.0
71,centred,10,4,54665.0,54665.0
72,centred,10,4,39757.75,39757.75
73,centred,10,4,60172.75,61706.0
74,centred,10,4,49172.5,49172.5
75,centred,10,4,47804.25,47804.25
76,centred,10,4,58860.75,58860.75
77,centred,10,4,42181.75,42181.75
78,centred,10,4,49546.75,49546.75
79,centred,10,4,53705.0,53705.0
80,discreteUniform,10,6,37531.833333333336,39253.0
81,discreteUniform,10,6,36107.0,36107.0
82,discreteUniform,10,6,42103.166666666664,44774.666666666664
83,discreteUniform,10,6,37861.0,37861.0
84,discreteUniform,10,6,43810.0,60781.0
85,discreteUniform,10,6,31213.0,36299.0
86,discreteUniform,10,6,35292.0,35292.0
87,discreteUniform,10,6,36380.666666666664,49413.0
88,discreteUniform,10,6,38982.0,38982.0
89,discreteUniform,10,6,34221.0,34221.0
90,largeJobs,10,6,56819.0,66137.25
91,largeJobs,10,6,55526.833333333336,67419.0
92,largeJobs,10,6,57275.333333333336,69316.0
93,largeJobs,10,6,52359.833333333336,62208.0
94,largeJobs,10,6,53188.666666666664,64362.0
95,largeJobs,10,6,56213.833333333336,65269.0
96,largeJobs,10,6,55991.833333333336,67171.0
97,largeJobs,10,6,57074.333333333336,67482.0
98,largeJobs,10,6,57643.166666666664,68952.0
99,largeJobs,10,6,51792.166666666664,60400.0
100,extremes,10,6,29980.0,29980.0
101,extremes,10,6,39782.0,39782.0
102,extremes,10,6,36101.0,36101.0
103,extremes,10,6,48292.166666666664,64220.0
104,extremes,10,6,39373.0,40465.0
105,extremes,10,6,39028.0,39028.0
106,extremes,10,6,39532.0,58682.0
107,extremes,10,6,44423.166666666664,55361.0
108,extremes,10,6,39950.0,39950.0
109,extremes,10,6,44606.333333333336,58715.0
110,centred,10,6,31342.333333333332,36065.0
111,centred,10,6,33407.0,36571.0
112,centred,10,6,29189.166666666668,30151.5
113,centred,10,6,31190.5,35940.0
114,centred,10,6,33962.5,35526.5
115,centred,10,6,31862.0,36318.0
116,centred,10,6,29544.166666666668,30941.25
117,centred,10,6,39700.5,44201.333333333336
118,centred,10,6,29035.333333333332,31716.0
119,centred,10,6,35537.666666666664,40339.0
120,discreteUniform,10,8,38533.0,38533.0
121,discreteUniform,10,8,35841.0,35841.0
122,discreteUniform,10,8,28555.0,28555.0
123,discreteUniform,10,8,26427.0,26427.0
124,discreteUniform,10,8,37526.0,37526.0
125,discreteUniform,10,8,38948.0,38948.0
126,discreteUniform,10,8,37602.0,37602.0
127,discreteUniform,10,8,39451.0,39451.0
128,discreteUniform,10,8,26057.0,26057.0
129,discreteUniform,10,8,38997.0,38997.0
130,largeJobs,10,8,41427.375,63151.0
131,largeJobs,10,8,40937.125,60118.5
132,largeJobs,10,8,43587.5,63507.0
133,largeJobs,10,8,42279.25,60312.0
134,largeJobs,10,8,42534.625,62341.0
135,largeJobs,10,8,40908.125,60427.0
136,largeJobs,10,8,39980.125,57340.0
137,largeJobs,10,8,42520.0,62732.0
138,largeJobs,10,8,43305.0,66400.0
139,largeJobs,10,8,41903.25,58742.0
140,extremes,10,8,38251.0,38251.0
141,extremes,10,8,38936.0,38936.0
142,extremes,10,8,38235.0,38235.0
143,extremes,10,8,38869.0,38869.0
144,extremes,10,8,39716.0,39716.0
145,extremes,10,8,39961.0,39961.0
146,extremes,10,8,39410.0,39410.0
147,extremes,10,8,35768.0,35768.0
148,extremes,10,8,39365.0,39365.0
149,extremes,10,8,39952.0,39952.0
150,centred,10,8,27631.0,27631.0
151,centred,10,8,28631.0,32470.0
152,centred,10,8,32536.0,32536.0
153,centred,10,8,29882.0,38157.0
154,centred,10,8,26040.0,30763.0
155,centred,10,8,29084.375,34371.0
156,centred,10,8,29508.0,29508.0
157,centred,10,8,28017.0,29672.5
158,centred,10,8,32572.0,35481.5
159,centred,10,8,31487.0,36102.0
160,discreteUniform,100,20,98119.95,98119.95
161,discreteUniform,100,20,103187.8,103187.8
162,discreteUniform,100,20,110873.65,110873.65
163,discreteUniform,100,20,97891.45,97891.45
164,discreteUniform,100,20,98445.2,98445.2
165,discreteUniform,100,20,102797.55,102797.55
166,discreteUniform,100,20,98521.75,98521.75
167,discreteUniform,100,20,97183.85,97183.85
168,discreteUniform,100,20,100349.8,100349.8
169,discreteUniform,100,20,98042.9,98042.9
170,largeJobs,100,20,165521.3,165521.3
171,largeJobs,100,20,167268.15,167268.15
172,largeJobs,100,20,167136.75,167136.75
173,largeJobs,100,20,163648.5,163648.5
174,largeJobs,100,20,168681.8,168681.8
175,largeJobs,100,20,165868.85,165868.85
176,largeJobs,100,20,168837.75,168837.75
177,largeJobs,100,20,168701.7,168701.7
178,largeJobs,100,20,170367.6,170367.6
179,largeJobs,100,20,165959.3,165959.3
180,extremes,100,20,101342.95,101342.95
181,extremes,100,20,104972.3,104972.3
182,extremes,100,20,100280.55,100280.55
183,extremes,100,20,93735.75,93735.75
184,extremes,100,20,104658.85,104658.85
185,extremes,100,20,101500.2,101500.2
186,extremes,100,20,97453.15,97453.15
187,extremes,100,20,109605.4,109605.4
188,extremes,100,20,103602.65,103602.65
189,extremes,100,20,97448.85,97448.85
190,centred,100,20,99519.6,99519.6
191,centred,100,20,100848.4,100848.4
192,centred,100,20,96179.95,96179.95
193,centred,100,20,102256.25,102256.25
194,centred,100,20,102456.6,102456.6
195,centred,100,20,95292.6,95292.6
196,centred,100,20,102057.7,102057.7
197,centred,100,20,95510.1,95510.1
198,centred,100,20,106077.8,106077.8
199,centred,100,20,101343.9,101343.9
200,discreteUniform,100,40,46486.325,46486.325
201,discreteUniform,100,40,46288.775,46288.775
202,discreteUniform,100,40,52276.2,52276.2
203,discreteUniform,100,40,50941.775,50941.775
204,discreteUniform,100,40,50908.05,50908.05
205,discreteUniform,100,40,49037.65,49037.65
206,discreteUniform,100,40,49972.625,49972.625
207,discreteUniform,100,40,48094.175,48094.175
208,discreteUniform,100,40,47691.525,47691.525
209,discreteUniform,100,40,51747.85,51747.85
210,largeJobs,100,40,84538.95,94792.94444444444
211,largeJobs,100,40,82097.65,92103.26315789473
212,largeJobs,100,40,82356.625,91319.21052631579
213,largeJobs,100,40,82383.15,90745.15789473684
214,largeJobs,100,40,84516.625,95068.8947368421
215,largeJobs,100,40,83889.925,93741.66666666667
216,largeJobs,100,40,83577.975,93284.55555555556
217,largeJobs,100,40,84256.125,94490.33333333333
218,largeJobs,100,40,84071.25,93453.15789473684
219,largeJobs,100,40,83591.95,92948.77777777778
220,extremes,100,40,54071.775,57102.666666666664
221,extremes,100,40,43803.425,43803.425
222,extremes,100,40,43104.825,43104.825
223,extremes,100,40,46914.3,51014.0
224,extremes,100,40,46750.05,50871.0
225,extremes,100,40,42807.875,45673.0
226,extremes,100,40,44847.95,47288.76470588235
227,extremes,100,40,47614.4,51407.11111111111
228,extremes,100,40,50370.4,50993.0
229,extremes,100,40,51757.4,58548.0
230,centred,100,40,49758.6,49758.6
231,centred,100,40,49911.275,49911.275
232,centred,100,40,49826.825,49826.825
233,centred,100,40,50368.375,50368.375
234,centred,100,40,50605.55,50605.55
235,centred,100,40,50514.55,50514.55
236,centred,100,40,51369.6,51369.6
237,centred,100,40,51855.7,51855.7
238,centred,100,40,51691.425,51691.425
239,centred,100,40,49102.0,49102.0
240,discreteUniform,100,60,39900.0,39900.0
241,discreteUniform,100,60,39664.0,39664.0
242,discreteUniform,100,60,39562.0,39562.0
243,discreteUniform,100,60,37290.0,37290.0
244,discreteUniform,100,60,39423.0,40621.333333333336
245,discreteUniform,100,60,39959.0,39959.0
246,discreteUniform,100,60,39381.0,39381.0
247,discreteUniform,100,60,39214.0,39214.0
248,discreteUniform,100,60,38308.0,38308.0
249,discreteUniform,100,60,39964.0,39964.0
250,largeJobs,100,60,55792.65,66545.0
251,largeJobs,100,60,55074.23333333333,64571.36363636364
252,largeJobs,100,60,55524.05,66441.0
253,largeJobs,100,60,55704.03333333333,66626.0
254,largeJobs,100,60,55963.4,66727.5
255,largeJobs,100,60,54330.03333333333,65889.0
256,largeJobs,100,60,56515.35,67592.0
257,largeJobs,100,60,55478.03333333333,66434.16666666667
258,largeJobs,100,60,54785.95,65292.333333333336
259,largeJobs,100,60,55479.2,65305.0
260,extremes,100,60,39996.0,39996.0
261,extremes,100,60,39982.0,39982.0
262,extremes,100,60,39988.0,39988.0
263,extremes,100,60,39994.0,39994.0
264,extremes,100,60,40000.0,40000.0
265,extremes,100,60,39979.0,39979.0
266,extremes,100,60,39939.0,39939.0
267,extremes,100,60,39994.0,39994.0
268,extremes,100,60,40000.0,40000.0
269,extremes,100,60,39998.0,39998.0
270,centred,100,60,33531.71666666667,36505.142857142855
271,centred,100,60,33117.0,33510.333333333336
272,centred,100,60,36795.0,36795.0
273,centred,100,60,33369.7,37998.0
274,centred,100,60,36045.0,36045.0
275,centred,100,60,31569.066666666666,36310.5
276,centred,100,60,35218.0,36151.2
277,centred,100,60,34285.0,35413.72727272727
278,centred,100,60,35240.0,36854.37837837838
279,centred,100,60,35000.0,37307.666666666664
280,discreteUniform,100,80,39500.0,39500.0
281,discreteUniform,100,80,39032.0,39032.0
282,discreteUniform,100,80,39569.0,39569.0
283,discreteUniform,100,80,39702.0,39702.0
284,discreteUniform,100,80,39180.0,39180.0
285,discreteUniform,100,80,39990.0,39990.0
286,discreteUniform,100,80,39794.0,39794.0
287,discreteUniform,100,80,39753.0,39753.0
288,discreteUniform,100,80,39574.0,39574.0
289,discreteUniform,100,80,39948.0,39948.0
290,largeJobs,100,80,41910.725,60303.333333333336
291,largeJobs,100,80,42114.2375,62139.0
292,largeJobs,100,80,41199.3875,59071.25
293,largeJobs,100,80,41828.55,60344.0
294,largeJobs,100,80,41409.775,58261.0
295,largeJobs,100,80,41562.475,58698.0
296,largeJobs,100,80,42576.9375,61944.0
297,largeJobs,100,80,42701.05,62721.0
298,largeJobs,100,80,41809.5625,60112.0
299,largeJobs,100,80,41399.9375,60650.0
300,extremes,100,80,39999.0,39999.0
301,extremes,100,80,39966.0,39966.0
302,extremes,100,80,40000.0,40000.0
303,extremes,100,80,39861.0,39861.0
304,extremes,100,80,39995.0,39995.0
305,extremes,100,80,40000.0,40000.0
306,extremes,100,80,39994.0,39994.0
307,extremes,100,80,39954.0,39954.0
308,extremes,100,80,39977.0,39977.0
309,extremes,100,80,40000.0,40000.0
310,centred,100,80,34814.0,34814.0
311,centred,100,80,33306.0,33306.0
312,centred,100,80,32483.0,32483.0
313,centred,100,80,34160.0,34160.0
314,centred,100,80,34326.0,34326.0
315,centred,100,80,36860.0,36860.0
316,centred,100,80,36104.0,36104.0
317,centred,100,80,34961.0,34961.0
318,centred,100,80,33421.0,33421.0
319,centred,100,80,32974.0,32974.0
320,discreteUniform,1000,200,97434.655,97434.655
321,discreteUniform,1000,200,98763.795,98763.795
322,discreteUniform,1000,200,98550.725,98550.725
323,discreteUniform,1000,200,99105.295,99105.295
324,discreteUniform,1000,200,101304.66,101304.66
325,discreteUniform,1000,200,99877.945,99877.945
326,discreteUniform,1000,200,99176.55,99176.55
327,discreteUniform,1000,200,100463.88,100463.88
328,discreteUniform,1000,200,101025.93,101025.93
329,discreteUniform,1000,200,101467.525,101467.525
330,largeJobs,1000,200,166187.55,166187.55
331,largeJobs,1000,200,167166.825,167166.825
332,largeJobs,1000,200,166645.135,166645.135
333,largeJobs,1000,200,166835.93,166835.93
334,largeJobs,1000,200,166980.875,166980.875
335,largeJobs,1000,200,166812.4,166812.4
336,largeJobs,1000,200,166056.195,166056.195
337,largeJobs,1000,200,166223.585,166223.585
338,largeJobs,1000,200,165728.02,165728.02
339,largeJobs,1000,200,167607.405,167607.405
340,extremes,1000,200,99607.375,99607.375
341,extremes,1000,200,98714.915,98714.915
342,extremes,1000,200,99287.93,99287.93
343,extremes,1000,200,106716.09,106716.09
344,extremes,1000,200,97283.27,97283.27
345,extremes,1000,200,100025.28,100025.28
346,extremes,1000,200,104594.195,104594.195
347,extremes,1000,200,99700.28,99700.28
348,extremes,1000,200,103284.745,103284.745
349,extremes,1000,200,98430.905,98430.905
350,centred,1000,200,100753.035,100753.035
351,centred,1000,200,99897.86,99897.86
352,centred,1000,200,100526.175,100526.175
353,centred,1000,200,98677.06,98677.06
354,centred,1000,200,99638.83,99638.83
355,centred,1000,200,100568.26,100568.26
356,centred,1000,200,99699.735,99699.735
357,centred,1000,200,98568.235,98568.235
358,centred,1000,200,102047.775,102047.775
359,centred,1000,200,100967.575,100967.575
360,discreteUniform,1000,400,49476.7025,49476.7025
361,discreteUniform,1000,400,49360.19,49360.19
362,discreteUniform,1000,400,50040.0425,50040.0425
363,discreteUniform,1000,400,49481.4375,49481.4375
364,discreteUniform,1000,400,48389.185,48389.185
365,discreteUniform,1000,400,51048.1875,51048.1875
366,discreteUniform,1000,400,49330.5775,49330.5775
367,discreteUniform,1000,400,48721.7525,48721.7525
368,discreteUniform,1000,400,49480.73,49480.73
369,discreteUniform,1000,400,51379.8,51379.8
370,largeJobs,1000,400,82805.9925,92242.40243902439
371,largeJobs,1000,400,83071.535,92258.26543209876
372,largeJobs,1000,400,83457.2525,92884.61235955056
373,largeJobs,1000,400,83213.55,93097.34939759035
374,largeJobs,1000,400,83599.7775,93334.13978494624
375,largeJobs,1000,400,83756.5375,93249.80113636363
376,largeJobs,1000,400,83643.3675,93300.14201183432
377,largeJobs,1000,400,83144.7075,92516.42105263157
378,largeJobs,1000,400,82920.8525,91952.50877192983
379,largeJobs,1000,400,83238.0725,92566.91160220995
380,extremes,1000,400,52188.25,56727.0
381,extremes,1000,400,50445.29,54663.8
382,extremes,1000,400,50211.435,53345.75
383,extremes,1000,400,50156.275,52558.5
384,extremes,1000,400,51254.85,52847.2027027027
385,extremes,1000,400,49256.1,51730.625
386,extremes,1000,400,49847.4075,52006.03846153846
387,extremes,1000,400,49391.285,52820.666666666664
388,extremes,1000,400,49025.705,51659.63265306123
389,extremes,1000,400,49145.175,51821.75
390,centred,1000,400,50669.5075,50669.5075
391,centred,1000,400,50035.0875,50035.0875
392,centred,1000,400,49070.9975,49070.9975
393,centred,1000,400,51394.98,51394.98
394,centred,1000,400,50731.5425,50731.5425
395,centred,1000,400,50968.52,50968.52
396,centred,1000,400,50588.025,50588.025
397,centred,1000,400,48879.78,48879.78
398,centred,1000,400,50481.4225,50481.4225
399,centred,1000,400,49803.0825,49803.0825
400,discreteUniform,1000,600,39946.0,39946.0
401,discreteUniform,1000,600,39996.0,39996.0
402,discreteUniform,1000,600,39997.0,39997.0
403,discreteUniform,1000,600,39932.0,39932.0
404,discreteUniform,1000,600,39903.0,39903.0
405,discreteUniform,1000,600,39952.0,39952.0
406,discreteUniform,1000,600,39877.0,39877.0
407,discreteUniform,1000,600,39945.0,39945.0
408,discreteUniform,1000,600,39979.0,39979.0
409,discreteUniform,1000,600,40000.0,40000.0
410,largeJobs,1000,600,55272.32166666666,65501.666666666664
411,largeJobs,1000,600,55464.70333333333,65817.0
412,largeJobs,1000,600,55939.55,66202.01298701299
413,largeJobs,1000,600,55555.89666666667,66095.26804123711
414,largeJobs,1000,600,55303.28333333333,65886.30769230769
415,largeJobs,1000,600,55437.97833333333,65603.0
416,largeJobs,1000,600,55471.73333333333,66052.5
417,largeJobs,1000,600,55647.62666666666,66345.45454545454
418,largeJobs,1000,600,55427.74166666667,65517.8
419,largeJobs,1000,600,55666.635,65813.75193798449
420,extremes,1000,600,39999.0,39999.0
421,extremes,1000,600,39999.0,39999.0
422,extremes,1000,600,40000.0,40000.0
423,extremes,1000,600,40000.0,40000.0
424,extremes,1000,600,40000.0,40000.0
425,extremes,1000,600,39999.0,39999.0
426,extremes,1000,600,40000.0,40000.0
427,extremes,1000,600,40000.0,40000.0
428,extremes,1000,600,40000.0,40000.0
429,extremes,1000,600,40000.0,40000.0
430,centred,1000,600,37379.0,37379.0
